"source_type","current_url","title","parent_id","content_count","http_status","in_current_sitemap","keep_url","recommended_action","proposed_url","component","note"
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/","Hoạt động sinh viên","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/cuu-sinh-vien/","Cựu sinh viên","71","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/nhung-dieu-can-biet/","Những điều cần biết","71","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/thong-bao/","Thông báo","71","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/tuoi-tre-pxu/","Tuổi trẻ PXU","71","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hop-tac/","Hợp tác quốc tế","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/huong-nghiep/","Hướng nghiệp","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/khao-thi/","Khảo Thí","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/khoa-cong-nghe-va-quan-tri/","Khoa Công nghệ và Quản trị","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/khoa-ky-thuat-va-dich-vu/","Khoa Kỹ thuật và Dịch vụ","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/khoa-ngon-ngu/","Khoa Ngôn ngữ","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/khung-chuong-trinh-va-ke-hoach-dao-tao/","Khung chương trình và kế hoạch đào tạo","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/nghien-cuu-khoa-hoc/","Nghiên cứu khoa học","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/quy-trinh-iso/","Quy trình ISO","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/strive/","Strive","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/thanh-tra-khao-thi-dam-bao-chat-luong/","Thanh tra, khảo thí & đảm bảo chất lượng","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/thong-bao-tuyen-sinh/","thông báo tuyển sinh","0","5","200","yes","redirect","301-map","/tin-tuc/thong-bao-tuyen-sinh/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/tin-dao-tao/","Tin đào tạo","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/tin-tuc-tuyen-sinh/","Tin tức tuyển sinh","0","4","200","yes","redirect","301-map","/tin-tuc/tuyen-sinh/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/tin-tuc/","Tin tức","0","15","200","yes","redirect","301-map","/tin-tuc/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/tin-tuc/bao-chi-viet-ve-truong/","Báo chí viết về trường","72","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/tin-tuc/su-kien/","Sự kiện","72","1","200","yes","redirect","301-map","/tin-tuc/su-kien/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/tin-tuc/tin-tuc-chung/","Tin tức chung","72","17","200","yes","redirect","301-map","/tin-tuc/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/tuyen-dung/","Tuyển dụng","0","2","200","yes","redirect","301-map","/tin-tuc/tuyen-dung/","NewsCategoryPage","Keep the legacy URL until the replacement category is live and validated."
"category","https://topicauni.edu.vn/chuyen-muc/uncategorised/","Uncategorised","0","1","200","yes","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"page","https://topicauni.edu.vn/","VIỆN TOPICA","0","","200","yes","yes","preserve","/","Homepage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/6-ly-do-hoc-tap-tai-vien-topica/","6 lý do học tập tại Viện Topica","0","","200","yes","yes","preserve","/6-ly-do-hoc-tap-tai-vien-topica/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/bao-cao-thuong-nien/","Báo cáo thường niên","0","","200","yes","yes","preserve","/bao-cao-thuong-nien/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/blog/","Blog","0","","200","yes","redirect","301-map","/tin-tuc/","ContentPage","Legacy blog index; consolidate after the new news index is live."
"page","https://topicauni.edu.vn/bo-bieu-mau/","Bộ biểu mẫu","0","","200","yes","yes","preserve","/bo-bieu-mau/","StudentResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/bo-quy-trinh/","Bộ quy trình","0","","200","yes","yes","preserve","/bo-quy-trinh/","StudentResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cam-ket-gioi-thieu-viec-lam/","Cam kết giới thiệu việc làm","0","","200","yes","yes","preserve","/cam-ket-gioi-thieu-viec-lam/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cam-nhan-ve-dh-phu-xuan/","Cảm nhận về ĐH Phú Xuân","0","","200","yes","yes","preserve","/cam-nhan-ve-dh-phu-xuan/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cart/","Cart","0","","200","yes","review","noindex-retire","","ContentPage","Remove from sitemap now; return 410 only after analytics and backlink checks."
"page","https://topicauni.edu.vn/checkout/","Checkout","0","","200","yes","review","noindex-retire","","ContentPage","Remove from sitemap now; return 410 only after analytics and backlink checks."
"page","https://topicauni.edu.vn/chuong-trinh/","Chương trình","0","","200","yes","yes","preserve","/chuong-trinh/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/chuong-trinh-dao-tao-ngan-han/","Chương trình Đào tạo ngắn hạn","3542","","200","yes","yes","preserve","/chuong-trinh/chuong-trinh-dao-tao-ngan-han/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/chuong-trinh-dao-tao-tu-xa/","Chương trình Đào tạo từ xa","3542","","200","yes","yes","preserve","/chuong-trinh/chuong-trinh-dao-tao-tu-xa/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/chuong-trinh-dao-tao-tu-xa/co-hoi-nghe-nghiep-vi-tri-viec-lam/","Cơ hội Nghề Nghiệp & vị trí Việc làm","3544","","200","yes","yes","preserve","/chuong-trinh/chuong-trinh-dao-tao-tu-xa/co-hoi-nghe-nghiep-vi-tri-viec-lam/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/chuong-trinh-dao-tao-tu-xa/khung-chuong-trinh/","Khung Chương trình","3544","","200","yes","yes","preserve","/chuong-trinh/chuong-trinh-dao-tao-tu-xa/khung-chuong-trinh/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/chuong-trinh-dao-tao-tu-xa/muc-tieu-va-chuan-dau-ra/","Mục tiêu và Chuẩn đầu ra","3544","","200","yes","yes","preserve","/chuong-trinh/chuong-trinh-dao-tao-tu-xa/muc-tieu-va-chuan-dau-ra/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/chuong-trinh/khoa-dao-tao-truc-tuyen/","Khoá Đào tạo trực tuyến","3542","","200","yes","yes","preserve","/chuong-trinh/khoa-dao-tao-truc-tuyen/","ProgramOverviewPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cong-khai-van-bang-chung-chi/","Công khai văn bằng chứng chỉ","0","","200","yes","yes","preserve","/cong-khai-van-bang-chung-chi/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cong-khai/","Công khai","0","","200","yes","yes","preserve","/cong-khai/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cong-nghe-ky-thuat-o-to/","Công nghệ Kỹ thuật Ô tô","0","","200","yes","yes","preserve","/cong-nghe-ky-thuat-o-to/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/cong-nghe-thong-tin/","Công nghệ thông tin","0","","200","yes","yes","preserve","/cong-nghe-thong-tin/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao-thuong-xuyen/","Đào tạo thường xuyên","0","","200","yes","yes","preserve","/dao-tao-thuong-xuyen/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/","Đào tạo","0","","200","yes","yes","preserve","/dao-tao/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/ke-hoach-dao-tao/","Kế hoạch đào tạo","406","","200","yes","yes","preserve","/dao-tao/ke-hoach-dao-tao/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/ke-hoach-dao-tao/ke-hoach-hoc-ky/","Kế hoạch học kỳ","3764","","200","yes","yes","preserve","/dao-tao/ke-hoach-dao-tao/ke-hoach-hoc-ky/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/ke-hoach-dao-tao/ke-hoach-nam-hoc/","Kế hoạch năm học","3764","","200","yes","yes","preserve","/dao-tao/ke-hoach-dao-tao/ke-hoach-nam-hoc/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/ke-hoach-dao-tao/ke-hoach-toan-khoa/","Kế hoạch toàn khóa","3764","","200","yes","yes","preserve","/dao-tao/ke-hoach-dao-tao/ke-hoach-toan-khoa/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/lich-thi/","Lịch thi","406","","200","yes","yes","preserve","/dao-tao/lich-thi/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/quy-che-dao-tao/","Quy chế đào tạo","406","","200","yes","yes","preserve","/dao-tao/quy-che-dao-tao/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/dao-tao/thoi-khoa-bieu/","Thời khoá biểu","406","","200","yes","yes","preserve","/dao-tao/thoi-khoa-bieu/","AcademicResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/de-an-quy-che-tuyen-sinh/","Đề án – quy chế tuyển sinh","0","","200","yes","review","content-owner-review","/de-an-quy-che-tuyen-sinh/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/gioi-thieu/","Giới thiệu","0","","200","yes","yes","preserve","/gioi-thieu/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/co-cau-to-chuc/","Cơ cấu tổ chức","404","","200","yes","yes","preserve","/gioi-thieu/co-cau-to-chuc/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/co-so-vat-chat/","Cơ sở vật chất","404","","200","yes","yes","preserve","/gioi-thieu/co-so-vat-chat/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/gia-tri-cot-loi-triet-ly-giao-duc/","Giá trị cốt lõi & triết lý giáo dục","404","","200","yes","yes","preserve","/gioi-thieu/gia-tri-cot-loi-triet-ly-giao-duc/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/lich-su-hinh-thanh/","Lịch sử hình thành","404","","200","yes","yes","preserve","/gioi-thieu/lich-su-hinh-thanh/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/tam-nhin-su-mang/","Tầm nhìn, Sứ mạng","404","","200","yes","yes","preserve","/gioi-thieu/tam-nhin-su-mang/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/gioi-thieu/tap-doan-giao-duc-equest/","Tập đoàn Giáo dục EQuest","404","","200","yes","yes","preserve","/gioi-thieu/tap-doan-giao-duc-equest/","AboutPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/he-thong/","Hệ thống","0","","200","yes","yes","preserve","/he-thong/","StudentResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/hoc-phi/","Học phí","0","","200","yes","review","content-owner-review","/hoc-phi/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/hop-tac-voi-dai-hoc-kuv/","Hợp tác với Đại học KUV","0","","200","yes","yes","preserve","/hop-tac-voi-dai-hoc-kuv/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/itd/","Trung tâm iTD","0","","200","yes","yes","preserve","/itd/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/ket-noi-doanh-nghiep-cho-sinh-vien/","Kết nối doanh nghiệp cho sinh viên","0","","200","yes","yes","preserve","/ket-noi-doanh-nghiep-cho-sinh-vien/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/khao-thi-dbcl/","Khảo thí & ĐBCL","0","","200","yes","yes","preserve","/khao-thi-dbcl/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/lien-he/","Liên hệ","0","","200","yes","yes","preserve","/lien-he/","ContactPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/lien-ket-dao-tao-quoc-te/","Liên kết đào tạo quốc tế","0","","200","yes","yes","preserve","/lien-ket-dao-tao-quoc-te/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/my-account/","My account","0","","200","yes","review","noindex-retire","","ContentPage","Remove from sitemap now; return 410 only after analytics and backlink checks."
"page","https://topicauni.edu.vn/nckh-htqt/","NCKH & HTQT","0","","200","yes","yes","preserve","/nckh-htqt/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/ngon-ngu-anh/","Ngôn ngữ Anh","0","","200","yes","yes","preserve","/ngon-ngu-anh/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/ngon-ngu-trung-quoc/","Ngôn ngữ Trung Quốc","0","","200","yes","yes","preserve","/ngon-ngu-trung-quoc/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/nhung-cau-hoi-thuong-gap/","Những câu hỏi thường gặp","0","","200","yes","yes","preserve","/nhung-cau-hoi-thuong-gap/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/quan-ly-cong-nghiep/","Quản lý công nghiệp","0","","200","yes","yes","preserve","/quan-ly-cong-nghiep/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/quan-tri-dich-vu-du-lich-va-lu-hanh/","Quản trị Dịch vụ Du lịch và Lữ hành","0","","200","yes","yes","preserve","/quan-tri-dich-vu-du-lich-va-lu-hanh/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/quan-tri-kinh-doanh-marketing/","Quản trị Kinh doanh – Marketing","0","","200","yes","yes","preserve","/quan-tri-kinh-doanh-marketing/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/quy-dinh/","Quy định","0","","200","yes","yes","preserve","/quy-dinh/","StudentResourcesPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/shop/","Shop","0","","200","yes","review","noindex-retire","","ContentPage","Remove from sitemap now; return 410 only after analytics and backlink checks."
"page","https://topicauni.edu.vn/test/","test","0","","200","yes","review","noindex-retire","","ContentPage","Remove from sitemap now; return 410 only after analytics and backlink checks."
"page","https://topicauni.edu.vn/thoi-gian-dao-tao/","Thời gian đào tạo","0","","200","yes","yes","preserve","/thoi-gian-dao-tao/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/thong-bao-tuyen-sinh/","Thông báo tuyển sinh","0","","200","yes","review","content-owner-review","/thong-bao-tuyen-sinh/","AdmissionsPage","A Page and a Post currently claim the same URL; select one canonical content owner."
"page","https://topicauni.edu.vn/thong-tin-lien-thong/","Thông tin liên thông","0","","200","yes","yes","preserve","/thong-tin-lien-thong/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/truyen-thong-da-phuong-tien/","Truyền thông Đa phương tiện","0","","200","yes","yes","preserve","/truyen-thong-da-phuong-tien/","ProgramDetailPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/tuyen-sinh-van-bang-2/","Tuyển sinh văn bằng 2","0","","200","yes","review","content-owner-review","/tuyen-sinh-van-bang-2/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/tuyen-sinh/","Tuyển sinh","0","","200","yes","yes","preserve","/tuyen-sinh/","AdmissionsPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/tuyen-sinh/de-an-tuyen-sinh/","Đề án tuyển sinh","410","","200","yes","review","content-owner-review","/tuyen-sinh/de-an-tuyen-sinh/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/tuyen-sinh/hoc-phi-hoc-bong/","Học phí & Học bổng","410","","200","yes","review","content-owner-review","/tuyen-sinh/hoc-phi-hoc-bong/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/tuyen-sinh/quy-che-tuyen-sinh/","Quy chế tuyển sinh","410","","200","yes","review","content-owner-review","/tuyen-sinh/quy-che-tuyen-sinh/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"page","https://topicauni.edu.vn/tuyen-sinh/tai-sao-nen-hoc-tai-topica/","Tại sao nên học tại TOPICA","410","","200","yes","yes","preserve","/tuyen-sinh/tai-sao-nen-hoc-tai-topica/","AdmissionsPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/tuyen-sinh/xet-tuyen-truc-tuyen/","Xét tuyển trực tuyến","410","","200","yes","yes","preserve","/tuyen-sinh/xet-tuyen-truc-tuyen/","AdmissionsPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/ung-dung-cong-nghe-thong-tin/","Ứng dụng công nghệ thông tin","0","","200","yes","yes","preserve","/ung-dung-cong-nghe-thong-tin/","ContentPage","Preserve URL and migrate content verbatim before redesign."
"page","https://topicauni.edu.vn/van-bang-hai/","Văn bằng hai","0","","200","yes","review","content-owner-review","/van-bang-hai/","AdmissionsPage","Potentially overlaps another admissions page; preserve until legal/content sign-off."
"post","https://topicauni.edu.vn/1-chuong-trinh-hoc-dai-hoc-tu-xa-duoc-thiet-ke-tot-can-giai-quyet-van-de-gi-cho-nguoi-hoc/","1 chương trình học đại học từ xa được thiết kế tốt cần giải quyết vấn đề gì cho người học?","","","200","yes","yes","preserve","/1-chuong-trinh-hoc-dai-hoc-tu-xa-duoc-thiet-ke-tot-can-giai-quyet-van-de-gi-cho-nguoi-hoc/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/30-tuoi-bat-dau-hoc-dai-hoc-khong-bao-gio-la-muon-de-thay-doi-tuong-lai/","30 tuổi bắt đầu học đại học: Không bao giờ là muộn để thay đổi tương lai","","","200","yes","yes","preserve","/30-tuoi-bat-dau-hoc-dai-hoc-khong-bao-gio-la-muon-de-thay-doi-tuong-lai/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/5-dau-hieu-cho-thay-ban-dang-bi-gioi-han-su-nghiep-vi-thieu-bang-dai-hoc/","5 dấu hiệu cho thấy bạn đang bị giới hạn sự nghiệp vì thiếu bằng đại học","","","200","yes","yes","preserve","/5-dau-hieu-cho-thay-ban-dang-bi-gioi-han-su-nghiep-vi-thieu-bang-dai-hoc/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/bi-quyet-hoc-dai-hoc-tu-xa-ma-van-dam-bao-hieu-qua-cong-viec/","Bí quyết học đại học từ xa mà vẫn đảm bảo hiệu quả công việc","","","200","yes","yes","preserve","/bi-quyet-hoc-dai-hoc-tu-xa-ma-van-dam-bao-hieu-qua-cong-viec/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/chi-con-2-ngay-dang-ky-nhap-hoc-lop-khai-giang-ngay-20-07-2026/","CHỈ CÒN 2 NGÀY ĐĂNG KÝ NHẬP HỌC LỚP KHAI GIẢNG NGÀY 20/07/2026","","","200","yes","yes","preserve","/chi-con-2-ngay-dang-ky-nhap-hoc-lop-khai-giang-ngay-20-07-2026/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/chon-nganh-hoc-tu-xa-nguoi-di-lam-nen-dua-vao-kinh-nghiem-hay-xu-huong-thi-truong/","Chọn ngành học từ xa: Người đi làm nên dựa vào kinh nghiệm hay xu hướng thị trường?","","","200","yes","yes","preserve","/chon-nganh-hoc-tu-xa-nguoi-di-lam-nen-dua-vao-kinh-nghiem-hay-xu-huong-thi-truong/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/chuong-trinh-dai-hoc-tu-xa-khac-nhau-o-diem-nao-quyet-dinh-chat-luong-dau-ra/","Chương trình đại học từ xa khác nhau ở điểm nào quyết định chất lượng đầu ra?","","","200","yes","yes","preserve","/chuong-trinh-dai-hoc-tu-xa-khac-nhau-o-diem-nao-quyet-dinh-chat-luong-dau-ra/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/co-nang-luc-nhung-thieu-bang-dai-hoc-dung-de-co-hoi-vut-mat/","CÓ NĂNG LỰC NHƯNG THIẾU BẰNG ĐẠI HỌC – ĐỪNG ĐỂ CƠ HỘI VỤT MẤT","","","200","yes","yes","preserve","/co-nang-luc-nhung-thieu-bang-dai-hoc-dung-de-co-hoi-vut-mat/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/dau-hieu-nhan-biet-chuong-trinh-dai-hoc-tu-xa-thiet-ke-kem/","Dấu hiệu nhận biết chương trình đại học từ xa thiết kế kém","","","200","yes","yes","preserve","/dau-hieu-nhan-biet-chuong-trinh-dai-hoc-tu-xa-thiet-ke-kem/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/dung-di-hoc-dai-hoc-tu-xa-neu-ban-chua-tra-loi-duoc-3-cau-hoi-nay/","Đừng đi học đại học từ xa nếu bạn chưa trả lời được 3 câu hỏi này","","","200","yes","yes","preserve","/dung-di-hoc-dai-hoc-tu-xa-neu-ban-chua-tra-loi-duoc-3-cau-hoi-nay/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
"post","https://topicauni.edu.vn/hoc-dai-hoc-song-song-voi-cong-viec-giup-phat-trien-su-nghiep-ra-sao/","Học đại học song song với công việc giúp phát triển sự nghiệp ra sao?","","","200","yes","yes","preserve","/hoc-dai-hoc-song-song-voi-cong-viec-giup-phat-trien-su-nghiep-ra-sao/","ArticlePage","Preserve URL and migrate content verbatim before redesign."
